id,startTime,origin,destination,totalPower,graph,minimumCapacity,chargeLevelInterval,optimizedCost,optimizedCostDuration,optimizedDuration,optimizedDurationFinancialCost,endTime,error
901a46fae66,1.68512E+12,"{""latitude"":58.4948961905085,""longitude"":15.933181479568702}","{""latitude"":58.53150705900772,""longitude"":15.746721254265697}",2013.489924,,43,50,0,2122.4,2122.4,0,1.68512E+12,
934d4d47a03,1.6851E+12,"{""latitude"":56.65562318302232,""longitude"":15.08781081601339}","{""latitude"":56.83923771984071,""longitude"":15.198014085388078}",3994.52163,,43,50,0,3036.8,3036.8,0,1.6851E+12,
013218a0647,1.68487E+12,"{""latitude"":57.34957577123395,""longitude"":14.671460710215186}","{""latitude"":57.33213511150875,""longitude"":15.302838220748654}",5282.261753,,43,50,0,3828.6,3828.6,0,1.68487E+12,
26bd020f53d,1.68487E+12,"{""latitude"":56.920744776437836,""longitude"":15.143949177174829}","{""latitude"":56.62026305251856,""longitude"":14.921119950063638}",5466.995023,,43,50,0,4035.6,4035.6,0,1.68487E+12,
ed218d23ac4,1.68514E+12,"{""latitude"":60.27798530517961,""longitude"":13.109499525390815}","{""latitude"":59.90993621349289,""longitude"":12.914367572952628}",5549.230183,,43,50,0,4213.5,4213.5,0,1.68514E+12,
b0e1e61d1e2,1.68491E+12,"{""latitude"":60.173435223519846,""longitude"":13.647152351416837}","{""latitude"":60.21531200636267,""longitude"":12.995919489951072}",5767.20616,,43,50,0,4345,4345,0,1.68491E+12,
0358582b653,1.68455E+12,"{""latitude"":58.03068287440561,""longitude"":13.37623206034943}","{""latitude"":58.1551786432232,""longitude"":14.387107694653334}",6701.094232,,43,50,0,5175.5,5175.5,0,1.68455E+12,
7ac972ba807,1.68513E+12,"{""latitude"":57.691899654819835,""longitude"":12.915983412038436}","{""latitude"":57.46358588292867,""longitude"":12.236333553743624}",6781.687677,,43,50,0,4065.6,4065.6,0,1.68513E+12,
acb62894f42,1.68514E+12,"{""latitude"":58.119680994180925,""longitude"":15.325696279809108}","{""latitude"":57.89946832954326,""longitude"":15.063720439129863}",6950.387881,,43,50,0,5055.4,5055.4,0,1.68514E+12,
c30731d39c9,1.68488E+12,"{""latitude"":57.75527975293004,""longitude"":16.270250821687426}","{""latitude"":57.424527171284396,""longitude"":16.59851173477553}",6977.791247,,43,50,0,5183.8,5183.8,0,1.68488E+12,
6de9836d071,1.68488E+12,"{""latitude"":56.647077378674176,""longitude"":14.260032217864802}","{""latitude"":56.44893497532506,""longitude"":14.960160578364999}",7414.053383,,43,50,0,5144.3,5144.3,0,1.68488E+12,
f80120c6298,1.68495E+12,"{""latitude"":57.01898625186212,""longitude"":12.845149978601325}","{""latitude"":57.55304965633876,""longitude"":12.91219009900566}",7566.40101,,43,50,0,5752.4,5752.4,0,1.68495E+12,
84a39eb9db6,1.68489E+12,"{""latitude"":59.03365491431201,""longitude"":14.40391641590293}","{""latitude"":58.65094403800741,""longitude"":13.679369129411853}",7597.154149,,43,50,0,4581.4,4581.4,0,1.68489E+12,
9121877d50f,1.68512E+12,"{""latitude"":57.69676724863255,""longitude"":16.32261194039016}","{""latitude"":57.46620374871523,""longitude"":15.43635512666927}",7739.967753,,43,50,0,5480,5480,0,1.68512E+12,
f53de4ffc55,1.68487E+12,"{""latitude"":57.462998204896486,""longitude"":13.566187516031626}","{""latitude"":57.239093134573075,""longitude"":14.282676497377977}",8053.904344,,43,50,0,5238.6,5238.6,0,1.68487E+12,
